Country,Numeracy_Score,Wage_Metric,Wage_Unit,Survey_Year,Source_Numeracy,Source_Wage
Austria,274.496739,29.02369513,2022 USD PPP per hour,2022-2023 (PIAAC Cycle 2; named 2023),https://stat.link/files/b263dc5d-en/smlvj6.xlsx | A.4.1 (N) | B8,https://stat.link/files/b263dc5d-en/smlvj6.xlsx | A.4.7 (N) | AB8
Canada,278.4229085,26.84711717,2022 USD PPP per hour,2022-2023 (PIAAC Cycle 2; named 2023),https://stat.link/files/b263dc5d-en/smlvj6.xlsx | A.4.1 (N) | B9,https://stat.link/files/b263dc5d-en/smlvj6.xlsx | A.4.7 (N) | AB9
Chile,211.4039695,8.214082387,2022 USD PPP per hour,2022-2023 (PIAAC Cycle 2; named 2023),https://stat.link/files/b263dc5d-en/smlvj6.xlsx | A.4.1 (N) | B10,https://stat.link/files/b263dc5d-en/smlvj6.xlsx | A.4.7 (N) | AB10
Czechia,277.2620372,16.44644875,2022 USD PPP per hour,2022-2023 (PIAAC Cycle 2; named 2023),https://stat.link/files/b263dc5d-en/smlvj6.xlsx | A.4.1 (N) | B11,https://stat.link/files/b263dc5d-en/smlvj6.xlsx | A.4.7 (N) | AB11
Denmark,289.6857161,37.56611955,2022 USD PPP per hour,2022-2023 (PIAAC Cycle 2; named 2023),https://stat.link/files/b263dc5d-en/smlvj6.xlsx | A.4.1 (N) | B12,https://stat.link/files/b263dc5d-en/smlvj6.xlsx | A.4.7 (N) | AB12
Estonia,284.8275015,17.27982074,2022 USD PPP per hour,2022-2023 (PIAAC Cycle 2; named 2023),https://stat.link/files/b263dc5d-en/smlvj6.xlsx | A.4.1 (N) | B13,https://stat.link/files/b263dc5d-en/smlvj6.xlsx | A.4.7 (N) | AB13
Finland,304.2946089,26.99508962,2022 USD PPP per hour,2022-2023 (PIAAC Cycle 2; named 2023),https://stat.link/files/b263dc5d-en/smlvj6.xlsx | A.4.1 (N) | B14,https://stat.link/files/b263dc5d-en/smlvj6.xlsx | A.4.7 (N) | AB14
France,265.6526563,21.71870757,2022 USD PPP per hour,2022-2023 (PIAAC Cycle 2; named 2023),https://stat.link/files/b263dc5d-en/smlvj6.xlsx | A.4.1 (N) | B15,https://stat.link/files/b263dc5d-en/smlvj6.xlsx | A.4.7 (N) | AB15
Germany,282.6288491,30.08749582,2022 USD PPP per hour,2022-2023 (PIAAC Cycle 2; named 2023),https://stat.link/files/b263dc5d-en/smlvj6.xlsx | A.4.1 (N) | B16,https://stat.link/files/b263dc5d-en/smlvj6.xlsx | A.4.7 (N) | AB16
Hungary,258.9572106,13.44213909,2022 USD PPP per hour,2022-2023 (PIAAC Cycle 2; named 2023),https://stat.link/files/b263dc5d-en/smlvj6.xlsx | A.4.1 (N) | B17,https://stat.link/files/b263dc5d-en/smlvj6.xlsx | A.4.7 (N) | AB17
Ireland,264.7269862,28.08940319,2022 USD PPP per hour,2022-2023 (PIAAC Cycle 2; named 2023),https://stat.link/files/b263dc5d-en/smlvj6.xlsx | A.4.1 (N) | B18,https://stat.link/files/b263dc5d-en/smlvj6.xlsx | A.4.7 (N) | AB18
Italy,252.5137721,19.3859594,2022 USD PPP per hour,2022-2023 (PIAAC Cycle 2; named 2023),https://stat.link/files/b263dc5d-en/smlvj6.xlsx | A.4.1 (N) | B20,https://stat.link/files/b263dc5d-en/smlvj6.xlsx | A.4.7 (N) | AB20
Japan,293.5140531,16.77682761,2022 USD PPP per hour,2022-2023 (PIAAC Cycle 2; named 2023),https://stat.link/files/b263dc5d-en/smlvj6.xlsx | A.4.1 (N) | B21,https://stat.link/files/b263dc5d-en/smlvj6.xlsx | A.4.7 (N) | AB21
Korea,252.6792016,21.863727570000002,2022 USD PPP per hour,2022-2023 (PIAAC Cycle 2; named 2023),https://stat.link/files/b263dc5d-en/smlvj6.xlsx | A.4.1 (N) | B22,https://stat.link/files/b263dc5d-en/smlvj6.xlsx | A.4.7 (N) | AB22
Latvia,267.203116,14.37955692,2022 USD PPP per hour,2022-2023 (PIAAC Cycle 2; named 2023),https://stat.link/files/b263dc5d-en/smlvj6.xlsx | A.4.1 (N) | B23,https://stat.link/files/b263dc5d-en/smlvj6.xlsx | A.4.7 (N) | AB23
Lithuania,250.1123665,17.42801899,2022 USD PPP per hour,2022-2023 (PIAAC Cycle 2; named 2023),https://stat.link/files/b263dc5d-en/smlvj6.xlsx | A.4.1 (N) | B24,https://stat.link/files/b263dc5d-en/smlvj6.xlsx | A.4.7 (N) | AB24
Netherlands,291.4867268,33.11506107,2022 USD PPP per hour,2022-2023 (PIAAC Cycle 2; named 2023),https://stat.link/files/b263dc5d-en/smlvj6.xlsx | A.4.1 (N) | B25,https://stat.link/files/b263dc5d-en/smlvj6.xlsx | A.4.7 (N) | AB25
Norway,292.8274087,35.80782768,2022 USD PPP per hour,2022-2023 (PIAAC Cycle 2; named 2023),https://stat.link/files/b263dc5d-en/smlvj6.xlsx | A.4.1 (N) | B27,https://stat.link/files/b263dc5d-en/smlvj6.xlsx | A.4.7 (N) | AB27
Portugal,244.3722391,12.1497349,2022 USD PPP per hour,2022-2023 (PIAAC Cycle 2; named 2023),https://stat.link/files/b263dc5d-en/smlvj6.xlsx | A.4.1 (N) | B29,https://stat.link/files/b263dc5d-en/smlvj6.xlsx | A.4.7 (N) | AB29
Slovak Republic,264.6645652,14.09330821,2022 USD PPP per hour,2022-2023 (PIAAC Cycle 2; named 2023),https://stat.link/files/b263dc5d-en/smlvj6.xlsx | A.4.1 (N) | B30,https://stat.link/files/b263dc5d-en/smlvj6.xlsx | A.4.7 (N) | AB30
Spain,256.5936175,18.47242037,2022 USD PPP per hour,2022-2023 (PIAAC Cycle 2; named 2023),https://stat.link/files/b263dc5d-en/smlvj6.xlsx | A.4.1 (N) | B31,https://stat.link/files/b263dc5d-en/smlvj6.xlsx | A.4.7 (N) | AB31
Sweden,291.2721231,25.88919602,2022 USD PPP per hour,2022-2023 (PIAAC Cycle 2; named 2023),https://stat.link/files/b263dc5d-en/smlvj6.xlsx | A.4.1 (N) | B32,https://stat.link/files/b263dc5d-en/smlvj6.xlsx | A.4.7 (N) | AB32
Switzerland,281.8982947,38.88799372,2022 USD PPP per hour,2022-2023 (PIAAC Cycle 2; named 2023),https://stat.link/files/b263dc5d-en/smlvj6.xlsx | A.4.1 (N) | B33,https://stat.link/files/b263dc5d-en/smlvj6.xlsx | A.4.7 (N) | AB33
United States,261.116379,26.44230843,2022 USD PPP per hour,2022-2023 (PIAAC Cycle 2; named 2023),https://stat.link/files/b263dc5d-en/smlvj6.xlsx | A.4.1 (N) | B34,https://stat.link/files/b263dc5d-en/smlvj6.xlsx | A.4.7 (N) | AB34
